dbms,label,iteration,execution_time,response_time
aquery,with_trigger_insert,1,0.000803,0.211286
aquery,without_trigger_insert,1,0.000745,0.120907
aquery,with_trigger_insert,1,0.000960,0.213633
aquery,without_trigger_insert,1,0.000896,0.117927
aquery,with_trigger_insert,1,0.001064,0.462797
aquery,without_trigger_insert,1,0.001079,0.206650
aquery,with_trigger_insert,1,0.000944,0.241724
aquery,without_trigger_insert,1,0.000807,0.133845
aquery,with_trigger_insert,1,0.000925,0.272773
aquery,without_trigger_insert,1,0.000936,0.125177
aquery,with_trigger_insert,1,0.001246,6.959133
aquery,with_trigger_insert,2,0.000909,6.724569
aquery,with_trigger_insert,3,0.000846,6.771764
aquery,with_trigger_insert,4,0.000865,6.796163
aquery,with_trigger_insert,5,0.000880,6.689083
aquery,with_trigger_insert,6,0.000894,6.768087
aquery,with_trigger_insert,7,0.000880,6.804232
aquery,with_trigger_insert,8,0.000904,6.762623
aquery,with_trigger_insert,9,0.000858,6.815923
aquery,with_trigger_insert,10,0.000868,6.805245
aquery,with_trigger_insert,11,0.000832,6.744894
aquery,without_trigger_insert,1,0.001114,5.380095
aquery,without_trigger_insert,2,0.000826,5.384369
aquery,without_trigger_insert,3,0.000893,5.384141
aquery,without_trigger_insert,4,0.000913,5.489577
aquery,without_trigger_insert,5,0.000914,5.533600
aquery,with_trigger_insert,1,0.001181,6.638798
aquery,with_trigger_insert,2,0.000953,6.762839
aquery,with_trigger_insert,3,0.000940,6.827614
aquery,with_trigger_insert,4,0.000874,6.714299
aquery,with_trigger_insert,5,0.000978,6.798511
aquery,with_trigger_insert,6,0.000861,6.785218
aquery,with_trigger_insert,7,0.000829,6.700065
aquery,with_trigger_insert,8,0.000830,6.760347
aquery,with_trigger_insert,9,0.000803,6.759376
aquery,with_trigger_insert,10,0.000828,6.810135
aquery,with_trigger_insert,11,0.000994,6.753399
aquery,without_trigger_insert,1,0.001163,5.456571
aquery,without_trigger_insert,2,0.000839,5.405796
aquery,without_trigger_insert,3,0.000915,5.732856
aquery,without_trigger_insert,4,0.000880,5.571624
aquery,without_trigger_insert,5,0.000842,5.403663
aquery,without_trigger_insert,6,0.000915,5.552261
aquery,without_trigger_insert,7,0.000919,5.488396
aquery,without_trigger_insert,8,0.000954,5.535881
