dbms,label,iteration,execution_time,response_time
aquery,with_trigger_vendor,1,0.013000,0.130000
aquery,with_trigger_vendor,2,0.019000,0.206000
aquery,with_trigger_vendor,3,0.020000,0.130000
aquery,with_trigger_vendor,4,0.016000,0.126000
aquery,with_trigger_vendor,5,0.020000,0.133000
aquery,with_trigger_vendor,6,0.019000,0.130000
aquery,with_trigger_vendor,7,0.019000,0.129000
aquery,with_trigger_vendor,8,0.019000,0.129000
aquery,with_trigger_vendor,9,0.019000,0.130000
aquery,with_trigger_vendor,10,0.018000,0.118000
aquery,with_trigger_vendor,11,0.018000,0.121000
aquery,with_trigger_store,1,0.019000,0.140000
aquery,with_trigger_store,2,0.018000,0.119000
aquery,with_trigger_store,3,0.018000,0.128000
aquery,with_trigger_store,4,0.018000,0.128000
aquery,with_trigger_store,5,0.017000,0.118000
aquery,with_trigger_store,6,0.019000,0.129000
aquery,with_trigger_store,7,0.018000,0.117000
aquery,with_trigger_store,8,0.018000,0.119000
aquery,with_trigger_store,9,0.019000,0.132000
aquery,with_trigger_store,10,0.019000,0.129000
aquery,with_trigger_store,11,0.018000,0.118000
aquery,without_trigger_vendor,1,0.017000,0.119000
aquery,without_trigger_vendor,2,0.018000,0.121000
aquery,without_trigger_vendor,3,0.017000,0.115000
aquery,without_trigger_vendor,4,0.017000,0.114000
aquery,without_trigger_vendor,5,0.016000,0.116000
aquery,without_trigger_vendor,6,0.018000,0.126000
aquery,without_trigger_vendor,7,0.018000,0.117000
aquery,without_trigger_vendor,8,0.018000,0.123000
aquery,without_trigger_vendor,9,0.020000,0.200000
aquery,without_trigger_vendor,10,0.018000,0.118000
aquery,without_trigger_vendor,11,0.018000,0.119000
aquery,without_trigger_store,1,0.019000,0.130000
aquery,without_trigger_store,2,0.017000,0.115000
aquery,without_trigger_store,3,0.018000,0.127000
aquery,without_trigger_store,4,0.018000,0.123000
aquery,without_trigger_store,5,0.018000,0.118000
aquery,without_trigger_store,6,0.019000,0.127000
aquery,without_trigger_store,7,0.019000,0.130000
aquery,without_trigger_store,8,0.020000,0.183000
aquery,without_trigger_store,9,0.019000,0.135000
aquery,without_trigger_store,10,0.020000,0.133000
aquery,without_trigger_store,11,0.020000,0.132000
