dbms,label,iteration,execution_time,response_time
aquery,All,1,0.022000,0.327000
aquery,All,2,0.017000,0.123000
aquery,All,3,0.020000,0.328000
aquery,All,4,0.020000,0.132000
aquery,All,5,0.020000,0.136000
aquery,All,6,0.019000,0.128000
aquery,All,7,0.018000,0.127000
aquery,All,8,0.018000,0.125000
aquery,All,9,0.018000,0.127000
aquery,All,10,0.018000,0.126000
aquery,All,11,0.019000,0.175000
aquery,All,1,0.022000,0.155000
aquery,All,2,0.020000,0.263000
aquery,All,3,0.018000,0.122000
aquery,All,4,0.021000,0.215000
aquery,All,5,0.017000,0.125000
aquery,All,6,0.015000,0.118000
aquery,All,7,0.017000,0.129000
aquery,All,8,0.018000,0.128000
aquery,All,9,0.018000,0.127000
aquery,All,10,0.017000,0.122000
aquery,All,11,0.018000,0.132000
aquery,AllColumns,1,0.024000,0.237000
aquery,AllColumns,2,0.020000,0.177000
aquery,AllColumns,3,0.020000,0.234000
aquery,AllColumns,4,0.018000,0.125000
aquery,AllColumns,5,0.019000,0.126000
aquery,AllColumns,6,0.019000,0.170000
aquery,AllColumns,7,0.018000,0.126000
aquery,AllColumns,8,0.020000,0.134000
aquery,AllColumns,9,0.020000,0.213000
aquery,AllColumns,10,0.020000,0.131000
aquery,AllColumns,11,0.019000,0.126000
aquery,AllColumns,1,0.020000,0.235000
aquery,AllColumns,2,0.018000,0.126000
aquery,AllColumns,3,0.020000,0.205000
aquery,AllColumns,4,0.020000,0.127000
aquery,AllColumns,5,0.019000,0.131000
aquery,AllColumns,6,0.019000,0.125000
aquery,AllColumns,7,0.019000,0.144000
aquery,AllColumns,8,0.019000,0.153000
aquery,AllColumns,9,0.020000,0.129000
aquery,AllColumns,10,0.019000,0.124000
aquery,AllColumns,11,0.017000,0.123000
aquery,AllColumns,1,0.023000,0.142000
aquery,AllColumns,2,0.019000,0.128000
aquery,AllColumns,3,0.019000,0.144000
aquery,AllColumns,4,0.019000,0.132000
aquery,AllColumns,5,0.019000,0.125000
aquery,AllColumns,6,0.019000,0.125000
aquery,AllColumns,7,0.017000,0.123000
aquery,AllColumns,8,0.019000,0.129000
aquery,AllColumns,9,0.019000,0.129000
aquery,AllColumns,10,0.018000,0.130000
aquery,AllColumns,11,0.019000,0.190000
aquery,AllColumns,1,0.024000,0.247000
aquery,AllColumns,2,0.021000,0.316000
aquery,AllColumns,3,0.019000,0.128000
aquery,AllColumns,4,0.018000,0.125000
aquery,AllColumns,5,0.019000,0.129000
aquery,AllColumns,6,0.019000,0.127000
aquery,AllColumns,7,0.019000,0.124000
aquery,AllColumns,8,0.017000,0.134000
aquery,AllColumns,9,0.020000,0.214000
aquery,AllColumns,10,0.018000,0.125000
aquery,AllColumns,11,0.019000,0.131000
aquery,AllColumns,1,0.024000,0.233000
aquery,AllColumns,2,0.020000,0.266000
aquery,AllColumns,3,0.019000,0.128000
aquery,AllColumns,4,0.018000,0.125000
aquery,AllColumns,5,0.019000,0.129000
aquery,AllColumns,6,0.019000,0.129000
aquery,AllColumns,7,0.018000,0.130000
aquery,AllColumns,8,0.019000,0.139000
aquery,AllColumns,9,0.021000,0.147000
aquery,AllColumns,10,0.019000,0.130000
aquery,AllColumns,11,0.018000,0.125000
aquery,AllColumns,1,0.022000,0.151000
aquery,AllColumns,2,0.020000,0.211000
aquery,AllColumns,3,0.019000,0.134000
aquery,AllColumns,4,0.019000,0.125000
aquery,AllColumns,5,0.019000,0.128000
aquery,AllColumns,6,0.019000,0.126000
aquery,AllColumns,7,0.021000,0.144000
aquery,AllColumns,8,0.019000,0.125000
aquery,AllColumns,9,0.015000,0.120000
aquery,AllColumns,10,0.019000,0.127000
aquery,AllColumns,11,0.019000,0.134000
aquery,AllColumns,1,0.021000,0.132000
aquery,AllColumns,2,0.017000,0.125000
aquery,AllColumns,3,0.019000,0.132000
aquery,AllColumns,4,0.018000,0.128000
aquery,AllColumns,5,0.019000,0.131000
aquery,AllColumns,6,0.020000,0.208000
aquery,AllColumns,7,0.019000,0.131000
aquery,AllColumns,8,0.019000,0.137000
aquery,AllColumns,9,0.019000,0.130000
aquery,AllColumns,10,0.019000,0.125000
aquery,AllColumns,11,0.018000,0.126000
aquery,AllColumns,1,0.022000,0.236000
aquery,AllColumns,2,0.021000,0.403000
aquery,AllColumns,3,0.018000,0.129000
aquery,AllColumns,4,0.020000,0.175000
aquery,AllColumns,5,0.019000,0.131000
aquery,AllColumns,6,0.019000,0.130000
aquery,AllColumns,7,0.019000,0.210000
aquery,AllColumns,8,0.019000,0.143000
aquery,AllColumns,9,0.020000,0.124000
aquery,AllColumns,10,0.019000,0.201000
aquery,AllColumns,11,0.019000,0.129000
aquery,AllColumns,1,0.023000,0.345000
aquery,AllColumns,2,0.020000,0.228000
aquery,AllColumns,3,0.018000,0.131000
aquery,AllColumns,4,0.019000,0.129000
aquery,AllColumns,5,0.019000,0.126000
aquery,AllColumns,6,0.020000,0.129000
aquery,AllColumns,7,0.019000,0.132000
aquery,AllColumns,8,0.019000,0.128000
aquery,AllColumns,9,0.019000,0.127000
aquery,AllColumns,10,0.019000,0.128000
aquery,AllColumns,11,0.019000,0.128000
aquery,AllColumns,1,0.024000,0.231000
aquery,AllColumns,2,0.020000,0.212000
aquery,AllColumns,3,0.019000,0.127000
aquery,AllColumns,4,0.020000,0.205000
aquery,AllColumns,5,0.016000,0.130000
aquery,AllColumns,6,0.019000,0.129000
aquery,AllColumns,7,0.020000,0.213000
aquery,AllColumns,8,0.020000,0.133000
aquery,AllColumns,9,0.019000,0.125000
aquery,AllColumns,10,0.019000,0.130000
aquery,AllColumns,11,0.019000,0.128000
aquery,AllColumns,1,0.022000,0.138000
aquery,AllColumns,2,0.019000,0.132000
aquery,AllColumns,3,0.021000,0.166000
aquery,AllColumns,4,0.019000,0.128000
aquery,AllColumns,5,0.019000,0.124000
aquery,AllColumns,6,0.021000,0.220000
aquery,AllColumns,7,0.018000,0.125000
aquery,AllColumns,8,0.019000,0.130000
aquery,AllColumns,9,0.017000,0.214000
aquery,AllColumns,10,0.019000,0.127000
aquery,AllColumns,11,0.017000,0.127000
