dbms,label,iteration,execution_time,response_time
aquery,Query A,1,0.018000,0.310000
aquery,Query A,1,0.019000,0.281000
aquery,Query A,2,0.018000,0.270000
aquery,Query A,3,0.018000,0.130000
aquery,Query A,4,0.014000,0.119000
aquery,Query A,5,0.014000,0.115000
aquery,Query A,6,0.017000,0.121000
aquery,Query A,7,0.017000,0.124000
aquery,Query A,8,0.016000,0.120000
aquery,Query A,9,0.017000,0.121000
aquery,Query A,10,0.018000,0.122000
aquery,Query A,11,0.016000,0.206000
aquery,Query A,1,0.017000,0.204000
aquery,Query A,2,0.018000,0.127000
aquery,Query A,3,0.017000,0.120000
aquery,Query A,4,0.017000,0.202000
aquery,Query A,5,0.018000,0.125000
aquery,Query A,6,0.018000,0.122000
aquery,Query A,7,0.017000,0.133000
aquery,Query A,8,0.016000,0.121000
aquery,Query A,9,0.018000,0.123000
aquery,Query A,10,0.019000,0.152000
aquery,Query A,11,0.016000,0.167000
aquery,Query A,1,0.018000,0.301000
aquery,Query A,2,0.015000,0.122000
aquery,Query A,3,0.018000,0.214000
aquery,Query A,4,0.016000,0.127000
aquery,Query A,5,0.014000,0.125000
aquery,Query A,6,0.014000,0.123000
aquery,Query A,7,0.017000,0.123000
aquery,Query A,8,0.014000,0.127000
aquery,Query A,9,0.016000,0.122000
aquery,Query A,10,0.015000,0.129000
aquery,Query A,11,0.016000,0.128000
aquery,Query A,1,0.017000,0.128000
aquery,Query A,2,0.018000,0.130000
aquery,Query A,3,0.017000,0.206000
aquery,Query A,4,0.018000,0.121000
aquery,Query A,5,0.018000,0.119000
aquery,Query A,6,0.018000,0.120000
aquery,Query A,7,0.014000,0.124000
aquery,Query A,8,0.018000,0.123000
aquery,Query A,9,0.015000,0.128000
aquery,Query A,10,0.016000,0.129000
aquery,Query A,11,0.018000,0.125000
aquery,Query A,1,0.020000,0.338000
aquery,Query A,2,0.017000,0.128000
aquery,Query A,3,0.019000,0.132000
aquery,Query A,4,0.018000,0.126000
aquery,Query A,5,0.016000,0.122000
aquery,Query A,6,0.017000,0.228000
aquery,Query A,7,0.017000,0.127000
aquery,Query A,8,0.017000,0.127000
aquery,Query A,9,0.018000,0.124000
aquery,Query A,10,0.016000,0.123000
aquery,Query A,11,0.017000,0.124000
