dbms,label,iteration,execution_time,response_time
aquery,range_no_index,1,0.027000,0.356000
aquery,range_no_index,2,0.022000,0.286000
aquery,range_no_index,3,0.017000,0.121000
aquery,range_no_index,4,0.018000,0.123000
aquery,range_no_index,5,0.018000,0.122000
aquery,range_no_index,6,0.019000,0.129000
aquery,range_no_index,7,0.019000,0.128000
aquery,range_no_index,8,0.019000,0.132000
aquery,range_no_index,9,0.018000,0.123000
aquery,range_no_index,10,0.019000,0.128000
aquery,range_no_index,11,0.019000,0.129000
aquery,range_no_index,1,0.021000,0.220000
aquery,range_no_index,2,0.020000,0.131000
aquery,range_no_index,3,0.019000,0.126000
aquery,range_no_index,4,0.019000,0.130000
aquery,range_no_index,5,0.019000,0.130000
aquery,range_no_index,6,0.019000,0.129000
aquery,range_no_index,7,0.018000,0.124000
aquery,range_no_index,8,0.018000,0.127000
aquery,range_no_index,9,0.018000,0.125000
aquery,range_no_index,10,0.017000,0.123000
aquery,range_no_index,11,0.018000,0.121000
aquery,range_no_index,1,0.022000,0.247000
aquery,range_no_index,2,0.022000,0.337000
aquery,range_no_index,3,0.018000,0.125000
aquery,range_no_index,4,0.021000,0.146000
aquery,range_no_index,5,0.018000,0.123000
aquery,range_no_index,6,0.018000,0.124000
aquery,range_no_index,7,0.019000,0.132000
aquery,range_no_index,8,0.018000,0.124000
aquery,range_no_index,9,0.019000,0.129000
aquery,range_no_index,10,0.018000,0.127000
aquery,range_no_index,11,0.015000,0.121000
aquery,range_no_index,1,0.022000,0.211000
aquery,range_no_index,2,0.020000,0.131000
aquery,range_no_index,3,0.018000,0.124000
aquery,range_no_index,4,0.017000,0.122000
aquery,range_no_index,5,0.017000,0.128000
aquery,range_no_index,6,0.019000,0.132000
aquery,range_no_index,7,0.019000,0.129000
aquery,range_no_index,8,0.019000,0.129000
aquery,range_no_index,9,0.019000,0.142000
aquery,range_no_index,10,0.020000,0.132000
aquery,range_no_index,11,0.018000,0.122000
aquery,range_no_index,1,0.021000,0.147000
aquery,range_no_index,2,0.021000,0.214000
aquery,range_no_index,3,0.018000,0.127000
aquery,range_no_index,4,0.019000,0.131000
aquery,range_no_index,5,0.018000,0.125000
aquery,range_no_index,6,0.019000,0.130000
aquery,range_no_index,7,0.019000,0.126000
aquery,range_no_index,8,0.020000,0.127000
aquery,range_no_index,9,0.020000,0.211000
aquery,range_no_index,10,0.017000,0.126000
aquery,range_no_index,11,0.017000,0.128000
