dbms,label,iteration,execution_time,response_time
aquery,onepercent_index,1,0.022000,0.291000
aquery,onepercent_index,2,0.019000,0.203000
aquery,onepercent_index,3,0.020000,0.129000
aquery,onepercent_index,4,0.020000,0.130000
aquery,onepercent_index,5,0.019000,0.132000
aquery,onepercent_index,6,0.019000,0.131000
aquery,onepercent_index,7,0.018000,0.124000
aquery,onepercent_index,8,0.018000,0.125000
aquery,onepercent_index,9,0.019000,0.130000
aquery,onepercent_index,10,0.018000,0.124000
aquery,onepercent_index,11,0.019000,0.127000
aquery,onepercent_scan,1,0.020000,0.131000
aquery,onepercent_scan,2,0.019000,0.133000
aquery,onepercent_scan,3,0.015000,0.121000
aquery,onepercent_scan,4,0.019000,0.125000
aquery,onepercent_scan,5,0.018000,0.122000
aquery,onepercent_scan,6,0.019000,0.127000
aquery,onepercent_scan,7,0.018000,0.125000
aquery,onepercent_scan,8,0.019000,0.124000
aquery,onepercent_scan,9,0.018000,0.124000
aquery,onepercent_scan,10,0.019000,0.131000
aquery,onepercent_scan,11,0.019000,0.124000
aquery,fivepercent_index,1,0.018000,0.123000
aquery,fivepercent_index,2,0.020000,0.210000
aquery,fivepercent_index,3,0.018000,0.126000
aquery,fivepercent_index,4,0.019000,0.126000
aquery,fivepercent_index,5,0.018000,0.122000
aquery,fivepercent_index,6,0.020000,0.212000
aquery,fivepercent_index,7,0.022000,0.213000
aquery,fivepercent_index,8,0.020000,0.143000
aquery,fivepercent_index,9,0.019000,0.131000
aquery,fivepercent_index,10,0.021000,0.213000
aquery,fivepercent_index,11,0.019000,0.132000
aquery,fivepercent_scan,1,0.018000,0.126000
aquery,fivepercent_scan,2,0.019000,0.132000
aquery,fivepercent_scan,3,0.021000,0.182000
aquery,fivepercent_scan,4,0.019000,0.137000
aquery,fivepercent_scan,5,0.018000,0.121000
aquery,fivepercent_scan,6,0.019000,0.129000
aquery,fivepercent_scan,7,0.018000,0.123000
aquery,fivepercent_scan,8,0.018000,0.124000
aquery,fivepercent_scan,9,0.019000,0.131000
aquery,fivepercent_scan,10,0.019000,0.133000
aquery,fivepercent_scan,11,0.018000,0.123000
aquery,tenpercent_index,1,0.019000,0.132000
aquery,tenpercent_index,2,0.019000,0.211000
aquery,tenpercent_index,3,0.019000,0.125000
aquery,tenpercent_index,4,0.019000,0.132000
aquery,tenpercent_index,5,0.021000,0.212000
aquery,tenpercent_index,6,0.019000,0.130000
aquery,tenpercent_index,7,0.018000,0.124000
aquery,tenpercent_index,8,0.018000,0.123000
aquery,tenpercent_index,9,0.019000,0.130000
aquery,tenpercent_index,10,0.019000,0.133000
aquery,tenpercent_index,11,0.019000,0.130000
aquery,tenpercent_scan,1,0.022000,0.212000
aquery,tenpercent_scan,2,0.020000,0.147000
aquery,tenpercent_scan,3,0.019000,0.127000
aquery,tenpercent_scan,4,0.019000,0.131000
aquery,tenpercent_scan,5,0.019000,0.131000
aquery,tenpercent_scan,6,0.019000,0.129000
aquery,tenpercent_scan,7,0.020000,0.133000
aquery,tenpercent_scan,8,0.016000,0.121000
aquery,tenpercent_scan,9,0.019000,0.135000
aquery,tenpercent_scan,10,0.020000,0.135000
aquery,tenpercent_scan,11,0.018000,0.124000
aquery,twentypercent_index,1,0.019000,0.132000
aquery,twentypercent_index,2,0.021000,0.207000
aquery,twentypercent_index,3,0.018000,0.123000
aquery,twentypercent_index,4,0.023000,0.639000
aquery,twentypercent_index,5,0.022000,0.215000
aquery,twentypercent_index,6,0.018000,0.126000
aquery,twentypercent_index,7,0.021000,0.211000
aquery,twentypercent_index,8,0.018000,0.125000
aquery,twentypercent_index,9,0.020000,0.133000
aquery,twentypercent_index,10,0.016000,0.122000
aquery,twentypercent_index,11,0.022000,0.213000
aquery,twentypercent_scan,1,0.021000,0.210000
aquery,twentypercent_scan,2,0.021000,0.212000
aquery,twentypercent_scan,3,0.020000,0.131000
aquery,twentypercent_scan,4,0.018000,0.123000
aquery,twentypercent_scan,5,0.019000,0.132000
aquery,twentypercent_scan,6,0.019000,0.130000
aquery,twentypercent_scan,7,0.020000,0.131000
aquery,twentypercent_scan,8,0.018000,0.123000
aquery,twentypercent_scan,9,0.020000,0.210000
aquery,twentypercent_scan,10,0.019000,0.132000
aquery,twentypercent_scan,11,0.019000,0.124000
aquery,onepercent_index,1,0.027000,0.151000
aquery,onepercent_index,2,0.021000,0.213000
aquery,onepercent_index,3,0.019000,0.131000
aquery,onepercent_index,4,0.021000,0.212000
aquery,onepercent_index,5,0.019000,0.132000
aquery,onepercent_index,6,0.019000,0.134000
