dbms,label,iteration,execution_time,response_time
duckdb,without_denormalization,1,0.034000,0.028000
duckdb,without_denormalization,2,0.028000,0.023000
duckdb,without_denormalization,3,0.029000,0.022000
duckdb,without_denormalization,4,0.028000,0.022000
duckdb,without_denormalization,5,0.025000,0.020000
duckdb,without_denormalization,6,0.025000,0.020000
duckdb,without_denormalization,7,0.025000,0.021000
duckdb,without_denormalization,8,0.025000,0.020000
duckdb,without_denormalization,9,0.024000,0.020000
duckdb,without_denormalization,10,0.025000,0.020000
duckdb,without_denormalization,11,0.026000,0.021000
duckdb,with_denormalization,1,0.017000,0.018000
duckdb,with_denormalization,2,0.017000,0.018000
duckdb,with_denormalization,3,0.017000,0.018000
duckdb,with_denormalization,4,0.016000,0.018000
duckdb,with_denormalization,5,0.019000,0.021000
duckdb,with_denormalization,6,0.017000,0.018000
duckdb,with_denormalization,7,0.017000,0.018000
duckdb,with_denormalization,8,0.016000,0.018000
duckdb,with_denormalization,9,0.017000,0.018000
duckdb,with_denormalization,10,0.017000,0.018000
duckdb,with_denormalization,11,0.018000,0.019000
