dbms,label,iteration,execution_time,response_time
duckdb,non-clustered_1pct_2,1,1.200000,0.137000
duckdb,non-clustered_1pct_2,2,1.188000,0.128000
duckdb,non-clustered_1pct_2,3,1.150000,0.124000
duckdb,non-clustered_1pct_2,4,1.197000,0.127000
duckdb,non-clustered_1pct_2,5,1.176000,0.127000
duckdb,non-clustered_1pct_2,6,1.198000,0.129000
duckdb,non-clustered_1pct_2,7,1.189000,0.129000
duckdb,non-clustered_1pct_2,8,1.206000,0.129000
duckdb,non-clustered_1pct_2,9,1.183000,0.128000
duckdb,non-clustered_1pct_2,10,1.185000,0.129000
duckdb,non-clustered_1pct_2,11,1.198000,0.129000
duckdb,noindex_1pct_2,1,0.117000,0.026000
duckdb,noindex_1pct_2,2,0.116000,0.025000
duckdb,noindex_1pct_2,3,0.117000,0.028000
duckdb,noindex_1pct_2,4,0.118000,0.026000
duckdb,noindex_1pct_2,5,0.117000,0.026000
duckdb,noindex_1pct_2,6,0.111000,0.027000
duckdb,noindex_1pct_2,7,0.115000,0.026000
duckdb,noindex_1pct_2,8,0.118000,0.026000
duckdb,noindex_1pct_2,9,0.115000,0.026000
duckdb,noindex_1pct_2,10,0.116000,0.026000
duckdb,noindex_1pct_2,11,0.112000,0.025000
duckdb,non-clustered_5pct_2,1,6.719000,0.707000
duckdb,non-clustered_5pct_2,2,6.765000,0.710000
duckdb,non-clustered_5pct_2,3,6.800000,0.720000
duckdb,non-clustered_5pct_2,4,6.797000,0.714000
duckdb,non-clustered_5pct_2,5,6.768000,0.719000
duckdb,non-clustered_5pct_2,6,6.817000,0.724000
duckdb,non-clustered_5pct_2,7,6.731000,0.704000
duckdb,non-clustered_5pct_2,8,6.780000,0.718000
duckdb,non-clustered_5pct_2,9,6.882000,0.724000
duckdb,non-clustered_5pct_2,10,6.714000,0.708000
duckdb,non-clustered_5pct_2,11,6.688000,0.707000
duckdb,noindex_5pct_2,1,0.120000,0.026000
duckdb,noindex_5pct_2,2,0.122000,0.027000
duckdb,noindex_5pct_2,3,0.120000,0.027000
duckdb,noindex_5pct_2,4,0.122000,0.026000
duckdb,noindex_5pct_2,5,0.119000,0.026000
duckdb,noindex_5pct_2,6,0.120000,0.026000
duckdb,noindex_5pct_2,7,0.122000,0.026000
duckdb,noindex_5pct_2,8,0.123000,0.026000
duckdb,noindex_5pct_2,9,0.119000,0.026000
duckdb,noindex_5pct_2,10,0.120000,0.028000
duckdb,noindex_5pct_2,11,0.122000,0.026000
duckdb,non-clustered_10pct_2,1,17.292000,1.788000
duckdb,non-clustered_10pct_2,2,17.523000,1.808000
