dbms,label,iteration,execution_time,response_time
duckdb,range_no_index,1,0.019000,0.021000
duckdb,range_no_index,2,0.015000,0.017000
duckdb,range_no_index,3,0.013000,0.015000
duckdb,range_no_index,4,0.012000,0.014000
duckdb,range_no_index,5,0.012000,0.014000
duckdb,range_no_index,6,0.013000,0.015000
duckdb,range_no_index,7,0.012000,0.014000
duckdb,range_no_index,8,0.013000,0.015000
duckdb,range_no_index,9,0.012000,0.014000
duckdb,range_no_index,10,0.012000,0.014000
duckdb,range_no_index,11,0.012000,0.014000
duckdb,range_no_index,1,0.038000,0.023000
duckdb,range_no_index,2,0.030000,0.018000
duckdb,range_no_index,3,0.029000,0.016000
duckdb,range_no_index,4,0.027000,0.016000
duckdb,range_no_index,5,0.029000,0.016000
duckdb,range_no_index,6,0.028000,0.015000
duckdb,range_no_index,7,0.028000,0.016000
duckdb,range_no_index,8,0.028000,0.015000
duckdb,range_no_index,9,0.028000,0.015000
duckdb,range_no_index,10,0.030000,0.016000
duckdb,range_no_index,11,0.029000,0.016000
duckdb,range_no_index,1,0.040000,0.026000
duckdb,range_no_index,2,0.032000,0.019000
duckdb,range_no_index,3,0.030000,0.017000
duckdb,range_no_index,4,0.030000,0.017000
duckdb,range_no_index,5,0.030000,0.018000
duckdb,range_no_index,6,0.030000,0.017000
duckdb,range_no_index,7,0.029000,0.017000
duckdb,range_no_index,8,0.030000,0.017000
duckdb,range_no_index,9,0.029000,0.017000
duckdb,range_no_index,10,0.030000,0.017000
duckdb,range_no_index,11,0.028000,0.017000
