dbms,label,iteration,execution_time,response_time
duckdb,All Columns,1,1.362000,0.412000
duckdb,All Columns,2,1.333000,0.356000
duckdb,All Columns,3,1.317000,0.387000
duckdb,All Columns,4,1.294000,0.397000
duckdb,All Columns,5,1.317000,0.393000
duckdb,All Columns,6,1.329000,0.384000
duckdb,All Columns,7,1.337000,0.362000
duckdb,All Columns,8,1.343000,0.400000
duckdb,All Columns,9,1.331000,0.377000
duckdb,All Columns,10,1.385000,0.439000
duckdb,All Columns,11,1.421000,0.445000
duckdb,All Columns,1,1.313000,0.406000
duckdb,All Columns,2,1.315000,0.395000
duckdb,All Columns,3,1.325000,0.357000
duckdb,All Columns,4,1.344000,0.393000
duckdb,All Columns,5,1.366000,0.406000
duckdb,All Columns,6,1.343000,0.396000
duckdb,All Columns,7,1.297000,0.391000
duckdb,All Columns,8,1.337000,0.388000
duckdb,All Columns,9,1.317000,0.384000
duckdb,All Columns,10,1.324000,0.408000
duckdb,All Columns,11,1.322000,0.415000
