dbms,label,iteration,execution_time,response_time
postgres,with_trigger_insert,1,0.020329,0.101609
postgres,with_trigger_insert,2,0.011824,0.054866
postgres,with_trigger_insert,3,0.011570,0.053570
postgres,with_trigger_insert,4,0.011660,0.072166
postgres,with_trigger_insert,5,0.012621,0.058473
postgres,with_trigger_insert,6,0.012442,0.058693
postgres,with_trigger_insert,7,0.011591,0.054470
postgres,with_trigger_insert,8,0.011485,0.053517
postgres,with_trigger_insert,9,0.011465,0.053652
postgres,with_trigger_insert,10,0.011447,0.053860
postgres,with_trigger_insert,11,0.011543,0.053911
postgres,without_trigger_insert,1,0.020559,0.058100
postgres,without_trigger_insert,2,0.011635,0.032008
postgres,without_trigger_insert,3,0.011714,0.032657
postgres,without_trigger_insert,4,0.011785,0.032168
postgres,without_trigger_insert,5,0.011955,0.032561
postgres,without_trigger_insert,6,0.011581,0.031738
postgres,without_trigger_insert,7,0.012419,0.035128
postgres,without_trigger_insert,8,0.011909,0.032666
postgres,without_trigger_insert,9,0.011616,0.031939
postgres,without_trigger_insert,10,0.011763,0.032444
postgres,without_trigger_insert,11,0.011720,0.031969
postgres,with_trigger_insert,1,0.019662,0.087397
postgres,with_trigger_insert,2,0.011799,0.052877
postgres,with_trigger_insert,3,0.011727,0.053084
postgres,with_trigger_insert,4,0.011599,0.052685
postgres,with_trigger_insert,5,0.011489,0.051484
postgres,with_trigger_insert,6,0.011563,0.050900
postgres,with_trigger_insert,7,0.011812,0.051692
postgres,with_trigger_insert,8,0.012009,0.053211
postgres,with_trigger_insert,9,0.011864,0.052934
postgres,with_trigger_insert,10,0.011570,0.051856
postgres,with_trigger_insert,11,0.011450,0.051121
postgres,without_trigger_insert,1,0.020175,0.056739
postgres,without_trigger_insert,2,0.011822,0.032895
postgres,without_trigger_insert,3,0.011704,0.032668
postgres,without_trigger_insert,4,0.012016,0.032917
postgres,without_trigger_insert,5,0.011879,0.032891
postgres,without_trigger_insert,6,0.011801,0.032561
postgres,without_trigger_insert,7,0.011738,0.032591
postgres,without_trigger_insert,8,0.011724,0.032224
postgres,without_trigger_insert,9,0.012851,0.041588
postgres,without_trigger_insert,10,0.014273,0.041563
postgres,without_trigger_insert,11,0.012238,0.033950
postgres,with_trigger_insert,1,0.022115,0.256398
postgres,with_trigger_insert,2,0.014272,0.074701
postgres,with_trigger_insert,3,0.011788,0.066878
postgres,with_trigger_insert,4,0.011924,0.067455
postgres,with_trigger_insert,5,0.011815,0.066283
postgres,with_trigger_insert,6,0.011315,0.067908
postgres,with_trigger_insert,7,0.011885,0.066627
postgres,with_trigger_insert,8,0.012424,0.069116
postgres,with_trigger_insert,9,0.011880,0.066266
postgres,with_trigger_insert,10,0.011872,0.065107
postgres,with_trigger_insert,11,0.011946,0.065507
postgres,without_trigger_insert,1,0.020821,0.061143
postgres,without_trigger_insert,2,0.012960,0.039960
postgres,without_trigger_insert,3,0.012244,0.034722
postgres,without_trigger_insert,4,0.012543,0.035922
postgres,without_trigger_insert,5,0.012146,0.034639
postgres,without_trigger_insert,6,0.012346,0.034357
postgres,without_trigger_insert,7,0.012207,0.034153
postgres,without_trigger_insert,8,0.012065,0.033671
postgres,without_trigger_insert,9,0.012091,0.034011
postgres,without_trigger_insert,10,0.011973,0.034004
postgres,without_trigger_insert,11,0.012138,0.033993
