dbms,label,iteration,execution_time,response_time
postgres,with_trigger_vendor,1,0.010000,0.014000
postgres,with_trigger_vendor,2,0.008000,0.013000
postgres,with_trigger_vendor,3,0.008000,0.012000
postgres,with_trigger_vendor,4,0.008000,0.012000
postgres,with_trigger_vendor,5,0.007000,0.012000
postgres,with_trigger_vendor,6,0.008000,0.012000
postgres,with_trigger_vendor,7,0.007000,0.012000
postgres,with_trigger_vendor,8,0.008000,0.012000
postgres,with_trigger_vendor,9,0.007000,0.017000
postgres,with_trigger_vendor,10,0.007000,0.017000
postgres,with_trigger_vendor,11,0.007000,0.018000
postgres,with_trigger_store,1,0.007000,0.016000
postgres,with_trigger_store,2,0.007000,0.021000
postgres,with_trigger_store,3,0.007000,0.019000
postgres,with_trigger_store,4,0.007000,0.019000
postgres,with_trigger_store,5,0.007000,0.019000
postgres,with_trigger_store,6,0.008000,0.020000
postgres,with_trigger_store,7,0.008000,0.015000
postgres,with_trigger_store,8,0.007000,0.016000
postgres,with_trigger_store,9,0.007000,0.024000
postgres,with_trigger_store,10,0.008000,0.023000
postgres,with_trigger_store,11,0.008000,0.021000
postgres,without_trigger_vendor,1,0.010000,0.149000
postgres,without_trigger_vendor,2,0.013000,0.150000
postgres,without_trigger_vendor,3,0.013000,0.149000
postgres,without_trigger_vendor,4,0.014000,0.149000
postgres,without_trigger_vendor,5,0.014000,0.147000
postgres,without_trigger_vendor,6,0.014000,0.147000
postgres,without_trigger_vendor,7,0.014000,0.147000
postgres,without_trigger_vendor,8,0.014000,0.148000
postgres,without_trigger_vendor,9,0.014000,0.156000
postgres,without_trigger_vendor,10,0.013000,0.152000
postgres,without_trigger_vendor,11,0.013000,0.152000
postgres,without_trigger_store,1,0.014000,0.164000
postgres,without_trigger_store,2,0.013000,0.162000
postgres,without_trigger_store,3,0.014000,0.161000
postgres,without_trigger_store,4,0.014000,0.160000
postgres,without_trigger_store,5,0.014000,0.161000
postgres,without_trigger_store,6,0.015000,0.160000
postgres,without_trigger_store,7,0.015000,0.159000
postgres,without_trigger_store,8,0.015000,0.160000
postgres,without_trigger_store,9,0.013000,0.160000
postgres,without_trigger_store,10,0.015000,0.163000
postgres,without_trigger_store,11,0.013000,0.164000
