dbms,label,iteration,execution_time,response_time
postgres,without_denormalization,1,0.160000,0.201000
postgres,without_denormalization,2,0.149000,0.200000
postgres,without_denormalization,3,0.150000,0.186000
postgres,without_denormalization,4,0.151000,0.191000
postgres,without_denormalization,5,0.151000,0.194000
postgres,without_denormalization,6,0.150000,0.193000
postgres,without_denormalization,7,0.149000,0.194000
postgres,without_denormalization,8,0.150000,0.190000
postgres,without_denormalization,9,0.149000,0.192000
postgres,without_denormalization,10,0.149000,0.205000
postgres,without_denormalization,11,0.149000,0.190000
postgres,with_denormalization,1,0.155000,0.198000
postgres,with_denormalization,2,0.150000,0.193000
postgres,with_denormalization,3,0.150000,0.192000
postgres,with_denormalization,4,0.150000,0.193000
postgres,with_denormalization,5,0.150000,0.193000
postgres,with_denormalization,6,0.149000,0.193000
postgres,with_denormalization,7,0.149000,0.192000
postgres,with_denormalization,8,0.150000,0.195000
postgres,with_denormalization,9,0.150000,0.192000
postgres,with_denormalization,10,0.152000,0.191000
postgres,with_denormalization,11,0.154000,0.195000
