dbms,label,iteration,execution_time,response_time
postgres,no_index,1,0.012000,0.135000
postgres,no_index,2,0.012000,0.089000
postgres,no_index,3,0.012000,0.090000
postgres,no_index,4,0.012000,0.089000
postgres,no_index,5,0.011000,0.089000
postgres,no_index,6,0.011000,0.091000
postgres,no_index,7,0.012000,0.091000
postgres,no_index,8,0.011000,0.089000
postgres,no_index,9,0.012000,0.090000
postgres,no_index,10,0.012000,0.089000
postgres,no_index,11,0.011000,0.089000
postgres,no_index,1,0.012000,0.137000
postgres,no_index,2,0.013000,0.090000
postgres,no_index,3,0.012000,0.089000
postgres,no_index,4,0.011000,0.089000
postgres,no_index,5,0.011000,0.089000
postgres,no_index,6,0.012000,0.090000
postgres,no_index,7,0.013000,0.092000
postgres,no_index,8,0.012000,0.090000
postgres,no_index,9,0.012000,0.091000
postgres,no_index,10,0.011000,0.089000
postgres,no_index,11,0.012000,0.090000
postgres,hash_index,1,0.013000,0.024000
postgres,hash_index,2,0.010000,0.015000
postgres,hash_index,3,0.008000,0.013000
postgres,hash_index,4,0.008000,0.012000
postgres,hash_index,5,0.009000,0.013000
postgres,hash_index,6,0.007000,0.012000
postgres,hash_index,7,0.007000,0.011000
postgres,hash_index,8,0.007000,0.011000
postgres,hash_index,9,0.007000,0.014000
postgres,hash_index,10,0.007000,0.017000
postgres,hash_index,11,0.007000,0.016000
postgres,btree_index,1,0.013000,0.020000
postgres,btree_index,2,0.010000,0.015000
postgres,btree_index,3,0.008000,0.013000
postgres,btree_index,4,0.008000,0.012000
postgres,btree_index,5,0.008000,0.012000
postgres,btree_index,6,0.007000,0.012000
postgres,btree_index,7,0.007000,0.012000
postgres,btree_index,8,0.007000,0.012000
postgres,btree_index,9,0.007000,0.016000
postgres,btree_index,10,0.007000,0.017000
postgres,btree_index,11,0.007000,0.014000
postgres,no_index,1,0.012000,0.045000
postgres,no_index,2,0.010000,0.040000
postgres,no_index,3,0.009000,0.029000
postgres,no_index,4,0.009000,0.028000
postgres,no_index,5,0.008000,0.026000
postgres,no_index,6,0.008000,0.027000
postgres,no_index,7,0.008000,0.025000
postgres,no_index,8,0.008000,0.026000
postgres,no_index,9,0.008000,0.023000
postgres,no_index,10,0.008000,0.025000
postgres,no_index,11,0.008000,0.027000
postgres,hash_index,1,0.010000,0.016000
postgres,hash_index,2,0.008000,0.014000
postgres,hash_index,3,0.008000,0.012000
postgres,hash_index,4,0.009000,0.014000
postgres,hash_index,5,0.008000,0.013000
postgres,hash_index,6,0.008000,0.012000
postgres,hash_index,7,0.007000,0.012000
postgres,hash_index,8,0.007000,0.015000
postgres,hash_index,9,0.007000,0.019000
postgres,hash_index,10,0.007000,0.018000
postgres,hash_index,11,0.007000,0.018000
postgres,btree_index,1,0.008000,0.014000
postgres,btree_index,2,0.008000,0.019000
postgres,btree_index,3,0.008000,0.018000
postgres,btree_index,4,0.008000,0.017000
postgres,btree_index,5,0.008000,0.017000
postgres,btree_index,6,0.008000,0.021000
postgres,btree_index,7,0.008000,0.017000
postgres,btree_index,8,0.008000,0.019000
postgres,btree_index,9,0.008000,0.016000
postgres,btree_index,10,0.008000,0.017000
postgres,btree_index,11,0.007000,0.021000
