dbms,label,iteration,execution_time,response_time
postgres,non-clustered_1pct_2,1,0.014000,0.036000
postgres,non-clustered_1pct_2,2,0.012000,0.026000
postgres,non-clustered_1pct_2,3,0.010000,0.019000
postgres,non-clustered_1pct_2,4,0.009000,0.020000
postgres,non-clustered_1pct_2,5,0.009000,0.021000
postgres,non-clustered_1pct_2,6,0.009000,0.018000
postgres,non-clustered_1pct_2,7,0.009000,0.018000
postgres,non-clustered_1pct_2,8,0.009000,0.019000
postgres,non-clustered_1pct_2,9,0.009000,0.017000
postgres,non-clustered_1pct_2,10,0.008000,0.016000
postgres,non-clustered_1pct_2,11,0.008000,0.017000
postgres,noindex_1pct_2,1,0.009000,0.029000
postgres,noindex_1pct_2,2,0.009000,0.026000
postgres,noindex_1pct_2,3,0.009000,0.027000
postgres,noindex_1pct_2,4,0.009000,0.027000
postgres,noindex_1pct_2,5,0.009000,0.024000
postgres,noindex_1pct_2,6,0.009000,0.025000
postgres,noindex_1pct_2,7,0.009000,0.026000
postgres,noindex_1pct_2,8,0.009000,0.025000
postgres,noindex_1pct_2,9,0.010000,0.025000
postgres,noindex_1pct_2,10,0.010000,0.027000
postgres,noindex_1pct_2,11,0.009000,0.025000
postgres,non-clustered_5pct_2,1,0.015000,0.027000
postgres,non-clustered_5pct_2,2,0.013000,0.026000
postgres,non-clustered_5pct_2,3,0.013000,0.028000
postgres,non-clustered_5pct_2,4,0.013000,0.027000
postgres,non-clustered_5pct_2,5,0.015000,0.027000
postgres,non-clustered_5pct_2,6,0.013000,0.025000
postgres,non-clustered_5pct_2,7,0.013000,0.025000
postgres,non-clustered_5pct_2,8,0.013000,0.028000
postgres,non-clustered_5pct_2,9,0.013000,0.025000
postgres,non-clustered_5pct_2,10,0.013000,0.027000
postgres,non-clustered_5pct_2,11,0.013000,0.028000
postgres,noindex_5pct_2,1,0.014000,0.035000
postgres,noindex_5pct_2,2,0.013000,0.034000
postgres,noindex_5pct_2,3,0.013000,0.035000
postgres,noindex_5pct_2,4,0.013000,0.032000
postgres,noindex_5pct_2,5,0.015000,0.033000
postgres,noindex_5pct_2,6,0.014000,0.034000
postgres,noindex_5pct_2,7,0.015000,0.034000
postgres,noindex_5pct_2,8,0.015000,0.035000
postgres,noindex_5pct_2,9,0.015000,0.035000
postgres,noindex_5pct_2,10,0.014000,0.032000
postgres,noindex_5pct_2,11,0.013000,0.029000
postgres,non-clustered_10pct_2,1,0.020000,0.035000
postgres,non-clustered_10pct_2,2,0.020000,0.034000
postgres,non-clustered_10pct_2,3,0.020000,0.036000
postgres,non-clustered_10pct_2,4,0.020000,0.037000
postgres,non-clustered_10pct_2,5,0.020000,0.043000
postgres,non-clustered_10pct_2,6,0.020000,0.035000
postgres,non-clustered_10pct_2,7,0.020000,0.039000
postgres,non-clustered_10pct_2,8,0.020000,0.035000
postgres,non-clustered_10pct_2,9,0.023000,0.042000
postgres,non-clustered_10pct_2,10,0.020000,0.037000
postgres,non-clustered_10pct_2,11,0.019000,0.034000
postgres,noindex_10pct_2,1,0.020000,0.041000
postgres,noindex_10pct_2,2,0.020000,0.038000
postgres,noindex_10pct_2,3,0.020000,0.042000
postgres,noindex_10pct_2,4,0.023000,0.043000
postgres,noindex_10pct_2,5,0.020000,0.039000
postgres,noindex_10pct_2,6,0.020000,0.039000
postgres,noindex_10pct_2,7,0.020000,0.039000
postgres,noindex_10pct_2,8,0.020000,0.040000
postgres,noindex_10pct_2,9,0.020000,0.038000
postgres,noindex_10pct_2,10,0.020000,0.039000
postgres,noindex_10pct_2,11,0.020000,0.038000
postgres,non-clustered_20pct_2,1,0.036000,0.056000
postgres,non-clustered_20pct_2,2,0.031000,0.055000
postgres,non-clustered_20pct_2,3,0.030000,0.051000
postgres,non-clustered_20pct_2,4,0.030000,0.051000
postgres,non-clustered_20pct_2,5,0.031000,0.050000
postgres,non-clustered_20pct_2,6,0.031000,0.052000
postgres,non-clustered_20pct_2,7,0.030000,0.050000
postgres,non-clustered_20pct_2,8,0.031000,0.050000
postgres,non-clustered_20pct_2,9,0.032000,0.054000
postgres,non-clustered_20pct_2,10,0.031000,0.050000
postgres,non-clustered_20pct_2,11,0.030000,0.054000
postgres,noindex_20pct_2,1,0.031000,0.059000
postgres,noindex_20pct_2,2,0.030000,0.055000
postgres,noindex_20pct_2,3,0.031000,0.058000
postgres,noindex_20pct_2,4,0.030000,0.056000
postgres,noindex_20pct_2,5,0.030000,0.054000
postgres,noindex_20pct_2,6,0.030000,0.053000
postgres,noindex_20pct_2,7,0.030000,0.054000
postgres,noindex_20pct_2,8,0.031000,0.054000
postgres,noindex_20pct_2,9,0.031000,0.055000
postgres,noindex_20pct_2,10,0.032000,0.056000
postgres,noindex_20pct_2,11,0.030000,0.055000
