dbms,label,iteration,execution_time,response_time
postgres,range_no_index,1,0.053000,0.143000
postgres,range_no_index,2,0.044000,0.075000
postgres,range_no_index,3,0.043000,0.068000
postgres,range_no_index,4,0.040000,0.065000
postgres,range_no_index,5,0.041000,0.066000
postgres,range_no_index,6,0.040000,0.063000
postgres,range_no_index,7,0.041000,0.068000
postgres,range_no_index,8,0.041000,0.071000
postgres,range_no_index,9,0.043000,0.071000
postgres,range_no_index,10,0.042000,0.074000
postgres,range_no_index,11,0.041000,0.068000
postgres,range_no_index,1,0.167000,0.340000
postgres,range_no_index,2,0.159000,0.310000
postgres,range_no_index,3,0.181000,0.333000
postgres,range_no_index,4,0.153000,0.314000
postgres,range_no_index,5,0.153000,0.298000
postgres,range_no_index,6,0.152000,0.296000
postgres,range_no_index,7,0.152000,0.296000
postgres,range_no_index,8,0.159000,0.306000
postgres,range_no_index,9,0.150000,0.304000
postgres,range_no_index,10,0.151000,0.296000
postgres,range_no_index,11,0.151000,0.297000
